accuracy,bootstrap_ci_lower,bootstrap_ci_upper,experiment_name,f1_macro,input_mode,model,num_negative,num_positive,num_samples,seed,split,subset
0.6804123711340206,0.44013615509841647,0.5527440395861448,platform/dt4mid-facebook-source,0.4960804394376687,caption,dt4mid-phobert,98,193,291,123,source_test,full
0.30112359550561796,0.22772486772486772,0.3003743315508021,platform/dt4mid-facebook-source,0.26395426140140943,caption,dt4mid-phobert,316,129,445,123,target_test,full
0.6666666666666666,0.4175567245868537,0.5216613091759205,platform/dt4mid-facebook-source,0.4673849463177161,caption,dt4mid-phobert,98,193,291,2026,source_test,full
0.3146067415730337,0.2339077182191759,0.30414005773773073,platform/dt4mid-facebook-source,0.26825389123414256,caption,dt4mid-phobert,316,129,445,2026,target_test,full
0.711340206185567,0.5656356145382957,0.6891416362950862,platform/dt4mid-facebook-source,0.6291418861512319,caption,dt4mid-phobert,98,193,291,42,source_test,full
0.4157303370786517,0.3698611550110043,0.46054067159655715,platform/dt4mid-facebook-source,0.4153731101948419,caption,dt4mid-phobert,316,129,445,42,target_test,full
0.5820224719101124,0.5081706482065549,0.6012309442426258,platform/dt4mid-threads-source,0.5553442496132027,caption,dt4mid-phobert,316,129,445,123,source_test,full
0.48109965635738833,0.38410747100944176,0.4960774677347025,platform/dt4mid-threads-source,0.4409328600328256,caption,dt4mid-phobert,98,193,291,123,target_test,full
0.7146067415730337,0.6006329800466526,0.6965956646447549,platform/dt4mid-threads-source,0.649325829450053,caption,dt4mid-phobert,316,129,445,2026,source_test,full
0.4845360824742268,0.4181741993415145,0.5329134652066829,platform/dt4mid-threads-source,0.47606587286345303,caption,dt4mid-phobert,98,193,291,2026,target_test,full
0.6719101123595506,0.5386430565891325,0.6348717948717948,platform/dt4mid-threads-source,0.5878165761559153,caption,dt4mid-phobert,316,129,445,42,source_test,full
0.5429553264604811,0.45627728557010433,0.5713632669646486,platform/dt4mid-threads-source,0.5148844963086449,caption,dt4mid-phobert,98,193,291,42,target_test,full
0.6666666666666666,0.5467793970408277,0.6641898831311064,platform/phobert-facebook-source,0.6062356141452186,caption,phobert-base,98,193,291,123,source_test,full
0.43595505617977526,0.3887603409043992,0.4803879882248928,platform/phobert-facebook-source,0.4348134092346616,caption,phobert-base,316,129,445,123,target_test,full
0.6563573883161512,0.5538225652955483,0.6699967599092775,platform/phobert-facebook-source,0.6134020618556701,caption,phobert-base,98,193,291,2026,source_test,full
0.5438202247191011,0.4756554307116105,0.568420723313728,platform/phobert-facebook-source,0.5225145225145225,caption,phobert-base,316,129,445,2026,target_test,full
0.6701030927835051,0.5478033228285478,0.6657852564102564,platform/phobert-facebook-source,0.6090461262875057,caption,phobert-base,98,193,291,42,source_test,full
0.4786516853932584,0.4285642062689585,0.5225321888412018,platform/phobert-facebook-source,0.4757687776739651,caption,phobert-base,316,129,445,42,target_test,full
0.6921348314606741,0.5583986534016682,0.6557531702281709,platform/phobert-threads-source,0.6081663870839199,caption,phobert-base,316,129,445,123,source_test,full
0.5463917525773195,0.4844809063606716,0.5976340451682286,platform/phobert-threads-source,0.5424528301886793,caption,phobert-base,98,193,291,123,target_test,full
0.6831460674157304,0.5799880525686977,0.6750494238338647,platform/phobert-threads-source,0.6274956809802839,caption,phobert-base,316,129,445,2026,source_test,full
0.570446735395189,0.5025763370512931,0.6166117046290132,platform/phobert-threads-source,0.560396398573932,caption,phobert-base,98,193,291,2026,target_test,full
0.7101123595505618,0.5351259148977896,0.6361098578840514,platform/phobert-threads-source,0.5854905443753655,caption,phobert-base,316,129,445,42,source_test,full
0.47079037800687284,0.4121163488531748,0.5257675956542277,platform/phobert-threads-source,0.47063409563409564,caption,phobert-base,98,193,291,42,target_test,full
